Name,Description,Language,URL,Stars,Forks,Last Updated,Last Scraped
awesome-autonomous-agents,"Curated list of tools, frameworks and resources to work with autonomous agents (autoGPT)",,https://github.com/jbesomi/awesome-autonomous-agents,8,0,2023-04-19T14:35:28Z,2023-06-02T00:01:52.268860
OpenAGI,OpenAGI: When LLM Meets Domain Experts,Python,https://github.com/agiresearch/OpenAGI,1199,73,2023-06-01T01:12:07Z,2023-06-02T00:01:52.420499
ai-legion,An LLM-powered autonomous agent platform,TypeScript,https://github.com/eumemic/ai-legion,1085,122,2023-04-29T05:06:43Z,2023-06-02T00:01:52.569464
yaaamagi,Yet Another Attempt At Making Artificial General Intelligence (with GPT-4),Python,https://github.com/janekb04/yaaamagi,5,0,2023-04-17T18:39:35Z,2023-06-02T00:01:52.718385
babyagi-asi,"BabyAGI: an Autonomous and Self-Improving agent, or BASI",Python,https://github.com/oliveirabruno01/babyagi-asi,645,63,2023-05-17T06:08:35Z,2023-06-02T00:01:52.895467
Auto-GPT,An experimental open-source attempt to make GPT-4 fully autonomous.,Python,https://github.com/Significant-Gravitas/Auto-GPT,136884,28541,2023-06-02T00:00:16Z,2023-06-02T00:01:53.089270
babyagi,,Python,https://github.com/yoheinakajima/babyagi,14973,2061,2023-06-01T18:15:44Z,2023-06-02T00:01:53.234293
CUPCAKEAGI,"🧁👋 Welcome to CupcakeAGI, where we bake up some sweet and creamy AGI goodness! 🍰🤖",Python,https://github.com/AkshitIreddy/CUPCAKEAGI,117,18,2023-04-27T02:28:08Z,2023-06-02T00:01:53.401979
babyagi,"BabyAGI-🦙: Enhanced for Llama models (running 100% local) and persistent memory, with smart internet search based on BabyCatAGI and document embedding in langchain based on privateGPT ",Python,https://github.com/robiwan303/babyagi,38,2,2023-06-01T21:11:29Z,2023-06-02T00:01:53.599877
Camel-AutoGPT,"🚀 Introducing 🐪 CAMEL: a game-changing role-playing approach for LLMs and auto-agents like BabyAGI & AutoGPT! Watch two agents 🤝 collaborate and solve tasks together, unlocking endless possibilities in #ConversationalAI, 🎮 gaming, 📚 education, and more! 🔥",JavaScript,https://github.com/SamurAIGPT/Camel-AutoGPT,762,54,2023-05-02T17:38:19Z,2023-06-02T00:01:53.770555
